"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:58 GMT 2024","3692","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:19:16 GMT 2024","Fri Feb 23 16:19:32 GMT 2024","16218","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:19:27 GMT 2024","Fri Feb 23 16:19:32 GMT 2024","5674","webkit","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:54 GMT 2024","392","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:19:04 GMT 2024","Fri Feb 23 16:19:12 GMT 2024","7270","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:19:25 GMT 2024","Fri Feb 23 16:19:26 GMT 2024","680","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:19:26 GMT 2024","Fri Feb 23 16:19:27 GMT 2024","914","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:18:59 GMT 2024","Fri Feb 23 16:19:00 GMT 2024","1074","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:54 GMT 2024","359","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:19:15 GMT 2024","Fri Feb 23 16:19:25 GMT 2024","9612","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:18:58 GMT 2024","Fri Feb 23 16:18:59 GMT 2024","761","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:19:01 GMT 2024","Fri Feb 23 16:19:02 GMT 2024","443","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:19:04 GMT 2024","Fri Feb 23 16:19:04 GMT 2024","383","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:19:00 GMT 2024","5296","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:19:02 GMT 2024","Fri Feb 23 16:19:03 GMT 2024","362","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:19:03 GMT 2024","Fri Feb 23 16:19:10 GMT 2024","7828","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:19:14 GMT 2024","Fri Feb 23 16:19:25 GMT 2024","11064","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:19:02 GMT 2024","Fri Feb 23 16:19:03 GMT 2024","406","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:19:25 GMT 2024","Fri Feb 23 16:19:29 GMT 2024","4286","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:18:57 GMT 2024","Fri Feb 23 16:18:59 GMT 2024","1544","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:54 GMT 2024","372","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:19:15 GMT 2024","Fri Feb 23 16:19:30 GMT 2024","15407","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:19:09 GMT 2024","Fri Feb 23 16:19:12 GMT 2024","3488","firefox","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:19:08 GMT 2024","Fri Feb 23 16:19:09 GMT 2024","943","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:19:03 GMT 2024","Fri Feb 23 16:19:07 GMT 2024","4609","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:19:15 GMT 2024","Fri Feb 23 16:19:15 GMT 2024","391","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:19:14 GMT 2024","Fri Feb 23 16:19:15 GMT 2024","438","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:18:59 GMT 2024","Fri Feb 23 16:19:01 GMT 2024","2188","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:19:02 GMT 2024","Fri Feb 23 16:19:07 GMT 2024","5158","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:57 GMT 2024","3198","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:19:07 GMT 2024","Fri Feb 23 16:19:08 GMT 2024","632","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:54 GMT 2024","432","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:19:16 GMT 2024","Fri Feb 23 16:19:16 GMT 2024","365","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:19:07 GMT 2024","Fri Feb 23 16:19:09 GMT 2024","2417","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:19:14 GMT 2024","Fri Feb 23 16:19:14 GMT 2024","443","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:18:54 GMT 2024","Fri Feb 23 16:18:59 GMT 2024","4915","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
