"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 15:06:08 GMT 2024","Tue Feb 27 15:06:08 GMT 2024","459","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 15:05:48 GMT 2024","Tue Feb 27 15:05:51 GMT 2024","2897","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 15:05:51 GMT 2024","Tue Feb 27 15:05:52 GMT 2024","758","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 15:05:45 GMT 2024","Tue Feb 27 15:05:45 GMT 2024","409","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 15:07:13 GMT 2024","Tue Feb 27 15:07:13 GMT 2024","392","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 15:05:46 GMT 2024","Tue Feb 27 15:05:46 GMT 2024","409","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 15:07:12 GMT 2024","Tue Feb 27 15:07:13 GMT 2024","407","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 15:06:19 GMT 2024","Tue Feb 27 15:06:22 GMT 2024","3309","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 15:06:05 GMT 2024","Tue Feb 27 15:06:32 GMT 2024","26692","firefox","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 15:07:16 GMT 2024","Tue Feb 27 15:07:17 GMT 2024","1046","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 15:05:33 GMT 2024","Tue Feb 27 15:05:44 GMT 2024","11053","chromium","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 15:06:02 GMT 2024","Tue Feb 27 15:06:44 GMT 2024","41938","firefox","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 15:06:08 GMT 2024","Tue Feb 27 15:06:09 GMT 2024","419","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 15:06:40 GMT 2024","Tue Feb 27 15:07:11 GMT 2024","31978","webkit","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 15:06:26 GMT 2024","Tue Feb 27 15:06:26 GMT 2024","832","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
