"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 24 03:08:00 GMT 2024","Sat Feb 24 03:08:00 GMT 2024","404","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Sat Feb 24 03:07:52 GMT 2024","Sat Feb 24 03:07:54 GMT 2024","2466","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Sat Feb 24 03:07:57 GMT 2024","Sat Feb 24 03:07:57 GMT 2024","412","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Sat Feb 24 03:07:53 GMT 2024","Sat Feb 24 03:07:56 GMT 2024","2785","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Sat Feb 24 03:07:58 GMT 2024","Sat Feb 24 03:07:59 GMT 2024","377","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Sat Feb 24 03:07:57 GMT 2024","Sat Feb 24 03:07:57 GMT 2024","353","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Sat Feb 24 03:08:10 GMT 2024","Sat Feb 24 03:08:18 GMT 2024","8080","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Sat Feb 24 03:07:56 GMT 2024","Sat Feb 24 03:07:57 GMT 2024","920","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Sat Feb 24 03:07:57 GMT 2024","Sat Feb 24 03:08:02 GMT 2024","5190","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Sat Feb 24 03:07:52 GMT 2024","Sat Feb 24 03:07:53 GMT 2024","1198","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Sat Feb 24 03:08:02 GMT 2024","Sat Feb 24 03:08:03 GMT 2024","846","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Sat Feb 24 03:08:13 GMT 2024","Sat Feb 24 03:08:19 GMT 2024","5864","webkit","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Sat Feb 24 03:07:51 GMT 2024","Sat Feb 24 03:07:52 GMT 2024","334","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Sat Feb 24 03:08:12 GMT 2024","Sat Feb 24 03:08:15 GMT 2024","3513","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Sat Feb 24 03:08:06 GMT 2024","Sat Feb 24 03:08:07 GMT 2024","1176","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Sat Feb 24 03:07:52 GMT 2024","Sat Feb 24 03:07:54 GMT 2024","1970","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Sat Feb 24 03:08:00 GMT 2024","Sat Feb 24 03:08:02 GMT 2024","2128","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Sat Feb 24 03:07:51 GMT 2024","Sat Feb 24 03:07:52 GMT 2024","399","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Sat Feb 24 03:07:52 GMT 2024","Sat Feb 24 03:07:53 GMT 2024","1506","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Sat Feb 24 03:08:13 GMT 2024","Sat Feb 24 03:08:13 GMT 2024","784","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Sat Feb 24 03:08:08 GMT 2024","Sat Feb 24 03:08:08 GMT 2024","271","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Sat Feb 24 03:08:08 GMT 2024","Sat Feb 24 03:08:15 GMT 2024","6866","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Sat Feb 24 03:08:07 GMT 2024","Sat Feb 24 03:08:08 GMT 2024","355","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Sat Feb 24 03:08:09 GMT 2024","Sat Feb 24 03:08:10 GMT 2024","342","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Sat Feb 24 03:08:03 GMT 2024","Sat Feb 24 03:08:06 GMT 2024","3013","firefox","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Sat Feb 24 03:07:54 GMT 2024","Sat Feb 24 03:07:56 GMT 2024","2120","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Sat Feb 24 03:08:21 GMT 2024","Sat Feb 24 03:08:22 GMT 2024","1185","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Sat Feb 24 03:08:06 GMT 2024","Sat Feb 24 03:08:10 GMT 2024","4392","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Sat Feb 24 03:07:51 GMT 2024","Sat Feb 24 03:07:52 GMT 2024","343","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Sat Feb 24 03:08:11 GMT 2024","Sat Feb 24 03:08:11 GMT 2024","328","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Sat Feb 24 03:07:51 GMT 2024","Sat Feb 24 03:07:52 GMT 2024","347","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Sat Feb 24 03:08:02 GMT 2024","Sat Feb 24 03:08:06 GMT 2024","3674","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Sat Feb 24 03:08:11 GMT 2024","Sat Feb 24 03:08:13 GMT 2024","1443","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Sat Feb 24 03:07:53 GMT 2024","Sat Feb 24 03:07:54 GMT 2024","870","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Sat Feb 24 03:08:15 GMT 2024","Sat Feb 24 03:08:21 GMT 2024","5718","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Sat Feb 24 03:07:57 GMT 2024","Sat Feb 24 03:08:03 GMT 2024","5638","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
