"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 16:30:57 GMT 2024","Tue Feb 27 16:30:57 GMT 2024","343","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Tue Feb 27 16:29:57 GMT 2024","Tue Feb 27 16:30:01 GMT 2024","4620","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 16:30:53 GMT 2024","Tue Feb 27 16:31:04 GMT 2024","10646","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 16:29:26 GMT 2024","Tue Feb 27 16:29:29 GMT 2024","2926","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 16:29:22 GMT 2024","Tue Feb 27 16:29:24 GMT 2024","1943","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 16:29:56 GMT 2024","Tue Feb 27 16:29:57 GMT 2024","406","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 16:30:02 GMT 2024","Tue Feb 27 16:30:08 GMT 2024","5052","firefox","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Tue Feb 27 16:29:28 GMT 2024","Tue Feb 27 16:29:30 GMT 2024","2096","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Tue Feb 27 16:29:32 GMT 2024","Tue Feb 27 16:30:18 GMT 2024","46063","firefox","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 16:30:59 GMT 2024","Tue Feb 27 16:31:03 GMT 2024","3909","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 16:29:11 GMT 2024","Tue Feb 27 16:29:21 GMT 2024","10431","chromium","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 16:31:08 GMT 2024","Tue Feb 27 16:31:12 GMT 2024","3290","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 16:29:46 GMT 2024","Tue Feb 27 16:30:01 GMT 2024","15479","firefox","letItCode.spec.ts","","","","Handling Tables",""
"passed","Tue Feb 27 16:29:24 GMT 2024","Tue Feb 27 16:29:28 GMT 2024","3481","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 16:30:44 GMT 2024","Tue Feb 27 16:30:45 GMT 2024","247","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 16:29:55 GMT 2024","Tue Feb 27 16:29:56 GMT 2024","361","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 16:30:45 GMT 2024","Tue Feb 27 16:30:49 GMT 2024","4259","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 16:30:10 GMT 2024","Tue Feb 27 16:30:12 GMT 2024","2492","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 16:29:18 GMT 2024","Tue Feb 27 16:29:27 GMT 2024","9130","chromium","letItCode.spec.ts","","","","Handling Tables",""
"passed","Tue Feb 27 16:29:23 GMT 2024","Tue Feb 27 16:29:26 GMT 2024","3343","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 16:29:11 GMT 2024","Tue Feb 27 16:29:22 GMT 2024","11426","chromium","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 16:30:02 GMT 2024","Tue Feb 27 16:30:02 GMT 2024","356","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Tue Feb 27 16:29:22 GMT 2024","Tue Feb 27 16:29:22 GMT 2024","297","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 16:30:39 GMT 2024","Tue Feb 27 16:31:01 GMT 2024","22117","webkit","letItCode.spec.ts","","","","Handling Tables",""
