"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 16:27:09 GMT 2024","Fri Feb 23 16:27:11 GMT 2024","1158","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:27:25 GMT 2024","Fri Feb 23 16:27:35 GMT 2024","10525","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:19 GMT 2024","5499","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:06 GMT 2024","501","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:27:19 GMT 2024","Fri Feb 23 16:27:21 GMT 2024","2609","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:27:08 GMT 2024","Fri Feb 23 16:27:10 GMT 2024","1828","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:13 GMT 2024","414","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:13 GMT 2024","454","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:27:26 GMT 2024","Fri Feb 23 16:27:26 GMT 2024","525","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:10 GMT 2024","3896","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:27:35 GMT 2024","Fri Feb 23 16:27:40 GMT 2024","5105","webkit","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:27:30 GMT 2024","Fri Feb 23 16:27:34 GMT 2024","3895","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:27:21 GMT 2024","Fri Feb 23 16:27:22 GMT 2024","1111","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:27:33 GMT 2024","Fri Feb 23 16:27:35 GMT 2024","1696","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:09 GMT 2024","2211","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:08 GMT 2024","1950","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:27:09 GMT 2024","Fri Feb 23 16:27:09 GMT 2024","894","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:13 GMT 2024","203","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:27:26 GMT 2024","Fri Feb 23 16:27:30 GMT 2024","4184","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:27:24 GMT 2024","Fri Feb 23 16:27:25 GMT 2024","423","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:21 GMT 2024","7846","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:27:10 GMT 2024","Fri Feb 23 16:27:13 GMT 2024","2705","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:19 GMT 2024","5472","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:27:26 GMT 2024","Fri Feb 23 16:27:26 GMT 2024","499","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:27:24 GMT 2024","Fri Feb 23 16:27:24 GMT 2024","194","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:10 GMT 2024","4070","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:06 GMT 2024","476","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Fri Feb 23 16:27:34 GMT 2024","Fri Feb 23 16:27:35 GMT 2024","1075","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:27:26 GMT 2024","Fri Feb 23 16:27:31 GMT 2024","4344","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:27:21 GMT 2024","Fri Feb 23 16:27:22 GMT 2024","793","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:13 GMT 2024","478","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:27:21 GMT 2024","Fri Feb 23 16:27:25 GMT 2024","3383","firefox","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:06 GMT 2024","481","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:27:06 GMT 2024","Fri Feb 23 16:27:06 GMT 2024","507","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:27:13 GMT 2024","Fri Feb 23 16:27:21 GMT 2024","7959","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:27:26 GMT 2024","Fri Feb 23 16:27:40 GMT 2024","13453","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
