"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 16:13:59 GMT 2024","Fri Feb 23 16:14:00 GMT 2024","961","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:59 GMT 2024","3488","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Able to create todo on the list",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:56 GMT 2024","368","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:56 GMT 2024","393","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:56 GMT 2024","397","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:14:00 GMT 2024","3656","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Fri Feb 23 16:13:58 GMT 2024","Fri Feb 23 16:13:59 GMT 2024","1349","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to delete to do",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:58 GMT 2024","1704","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Fri Feb 23 16:13:59 GMT 2024","Fri Feb 23 16:14:01 GMT 2024","1616","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:58 GMT 2024","1999","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Fri Feb 23 16:13:58 GMT 2024","Fri Feb 23 16:13:59 GMT 2024","680","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Fri Feb 23 16:13:56 GMT 2024","Fri Feb 23 16:13:56 GMT 2024","318","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
