"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 14:53:12 GMT 2024","Tue Feb 27 14:53:19 GMT 2024","7812","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 14:51:44 GMT 2024","Tue Feb 27 14:51:45 GMT 2024","288","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 14:51:45 GMT 2024","Tue Feb 27 14:51:45 GMT 2024","306","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 14:52:16 GMT 2024","Tue Feb 27 14:52:16 GMT 2024","607","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Tue Feb 27 14:51:52 GMT 2024","Tue Feb 27 14:51:55 GMT 2024","2973","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 14:51:41 GMT 2024","Tue Feb 27 14:51:49 GMT 2024","8086","chromium","letItCode.spec.ts","","","","Handling Tables",""
"passed","Tue Feb 27 14:52:39 GMT 2024","Tue Feb 27 14:53:07 GMT 2024","28347","webkit","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 14:51:52 GMT 2024","Tue Feb 27 14:52:16 GMT 2024","23631","firefox","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 14:52:30 GMT 2024","Tue Feb 27 14:52:34 GMT 2024","4076","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 14:53:15 GMT 2024","Tue Feb 27 14:53:19 GMT 2024","4534","webkit","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Tue Feb 27 14:57:01 GMT 2024","Tue Feb 27 14:57:06 GMT 2024","4831","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 14:51:46 GMT 2024","Tue Feb 27 14:51:49 GMT 2024","3098","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 14:52:40 GMT 2024","Tue Feb 27 14:52:57 GMT 2024","16823","webkit","letItCode.spec.ts","","","","Alerts Test",""
"passed","Tue Feb 27 14:51:33 GMT 2024","Tue Feb 27 14:51:41 GMT 2024","7518","chromium","letItCode.spec.ts","","","","Alerts Test",""
"passed","Tue Feb 27 14:53:07 GMT 2024","Tue Feb 27 14:53:07 GMT 2024","345","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 14:53:06 GMT 2024","Tue Feb 27 14:53:06 GMT 2024","193","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Tue Feb 27 14:52:45 GMT 2024","Tue Feb 27 14:53:06 GMT 2024","21529","webkit","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 14:51:47 GMT 2024","Tue Feb 27 14:51:50 GMT 2024","3233","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 14:51:44 GMT 2024","Tue Feb 27 14:51:44 GMT 2024","377","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","GET: set of Users",""
"passed","Tue Feb 27 14:53:06 GMT 2024","Tue Feb 27 14:53:07 GMT 2024","326","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 14:52:18 GMT 2024","Tue Feb 27 14:52:23 GMT 2024","5430","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 14:51:54 GMT 2024","Tue Feb 27 14:52:38 GMT 2024","44057","firefox","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 14:53:14 GMT 2024","Tue Feb 27 14:53:15 GMT 2024","878","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 14:51:50 GMT 2024","Tue Feb 27 14:51:51 GMT 2024","996","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 14:52:33 GMT 2024","Tue Feb 27 14:52:36 GMT 2024","3458","firefox","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Tue Feb 27 14:52:57 GMT 2024","Tue Feb 27 14:53:14 GMT 2024","17452","webkit","letItCode.spec.ts","","","","Handling Tables",""
"passed","Tue Feb 27 14:51:45 GMT 2024","Tue Feb 27 14:51:45 GMT 2024","322","chromium","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 14:51:33 GMT 2024","Tue Feb 27 14:51:49 GMT 2024","15226","chromium","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 14:52:23 GMT 2024","Tue Feb 27 14:52:31 GMT 2024","7809","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Oder product in the Application",""
"passed","Tue Feb 27 14:51:49 GMT 2024","Tue Feb 27 14:51:50 GMT 2024","355","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Tue Feb 27 14:51:45 GMT 2024","Tue Feb 27 14:51:47 GMT 2024","1908","chromium","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 14:51:33 GMT 2024","Tue Feb 27 14:51:46 GMT 2024","12468","chromium","letItCode.spec.ts","","","","Forms Test Using User facing locattors",""
"passed","Tue Feb 27 14:51:49 GMT 2024","Tue Feb 27 14:51:52 GMT 2024","2986","chromium","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 14:51:33 GMT 2024","Tue Feb 27 14:51:44 GMT 2024","10568","chromium","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 14:56:57 GMT 2024","Tue Feb 27 14:57:01 GMT 2024","4616","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 14:53:07 GMT 2024","Tue Feb 27 14:53:07 GMT 2024","296","webkit","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 14:52:08 GMT 2024","Tue Feb 27 14:52:26 GMT 2024","18117","firefox","letItCode.spec.ts","","","","Handling Tables",""
"passed","Tue Feb 27 14:52:16 GMT 2024","Tue Feb 27 14:52:17 GMT 2024","395","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","PUT: update a specific user",""
"passed","Tue Feb 27 14:57:06 GMT 2024","Tue Feb 27 14:57:10 GMT 2024","3820","webkit","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 14:52:34 GMT 2024","Tue Feb 27 14:52:34 GMT 2024","410","firefox","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Tue Feb 27 14:51:54 GMT 2024","Tue Feb 27 14:52:08 GMT 2024","14586","firefox","letItCode.spec.ts","","","","Alerts Test",""
"passed","Tue Feb 27 14:52:42 GMT 2024","Tue Feb 27 14:53:15 GMT 2024","32759","webkit","letItCode.spec.ts","","","","Handling multiple tabs",""
"passed","Tue Feb 27 14:53:15 GMT 2024","Tue Feb 27 14:53:16 GMT 2024","332","webkit","todoApi.spec.ts","QA CART Create to do via API","","","TS03 _Able to create to do",""
"passed","Tue Feb 27 14:52:31 GMT 2024","Tue Feb 27 14:52:33 GMT 2024","2120","firefox","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
"passed","Tue Feb 27 14:51:49 GMT 2024","Tue Feb 27 14:51:49 GMT 2024","650","chromium","todoApi.spec.ts","QA CART Create to do via API","","","TS01 _Able to register using API",""
"passed","Tue Feb 27 14:52:32 GMT 2024","Tue Feb 27 14:52:37 GMT 2024","5006","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS02 _Able to create todo on the list",""
"passed","Tue Feb 27 14:51:49 GMT 2024","Tue Feb 27 14:51:52 GMT 2024","2598","chromium","user.spec.ts","User Registration SUITE","","","TS01 _Able to register a user.",""
"passed","Tue Feb 27 14:52:26 GMT 2024","Tue Feb 27 14:52:32 GMT 2024","5693","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS01 _Register User",""
"passed","Tue Feb 27 14:51:59 GMT 2024","Tue Feb 27 14:52:30 GMT 2024","30781","firefox","letItCode.spec.ts","","","","Handling Iframes",""
"passed","Tue Feb 27 14:52:17 GMT 2024","Tue Feb 27 14:52:18 GMT 2024","327","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","DELETE: delete a user",""
"passed","Tue Feb 27 14:52:37 GMT 2024","Tue Feb 27 14:52:40 GMT 2024","3285","firefox","todo.spec.ts","Create & Delete To do SUITE","","","TS03 _Able to delete to do",""
"passed","Tue Feb 27 14:53:07 GMT 2024","Tue Feb 27 14:53:12 GMT 2024","4378","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Login in the Application",""
"passed","Tue Feb 27 14:52:17 GMT 2024","Tue Feb 27 14:52:17 GMT 2024","351","firefox","reqres.spec.ts","Reqres API  https://reqres.in/api-docs","","","POST: register a user",""
"passed","Tue Feb 27 14:53:19 GMT 2024","Tue Feb 27 14:53:21 GMT 2024","1655","webkit","swagLabs.spec.ts","Swag Labs Suite","","","Visual Test Usign playwright screenshot",""
